id,team1_name,team2_name,winner_name,team1_score,team2_score,bo_format,start_date,tournament_id,slug,round_id,team1_id,team2_id,winner_team_id,loser_team_id,status,bo_type,end_date,stage_id,maps_score,parsed_status,tier,tier_rank,position,team1_last_game_score,team2_last_game_score,game_version,team1_win,team2_win,match_name
119817,3Dmax,Mibr,Mibr,0.0,1.0,BO1,2026-05-20 03:15:00+00:00,4208,3dmax-vs-mibr-20-05-2026,36690.0,696.0,755.0,755.0,696.0,finished,1,2026-05-20 04:04:25+00:00,9935.0,[True],done,s,1,11.0,,,2.0,False,True,3dmax-vs-mibr
119816,Parivision,Liquid,Parivision,1.0,0.0,BO1,2026-05-20 03:15:00+00:00,4208,parivision-vs-liquid-20-05-2026,36690.0,8171.0,790.0,8171.0,790.0,finished,1,2026-05-20 04:00:13+00:00,9935.0,[True],done,s,1,12.0,,,2.0,True,False,parivision-vs-liquid
119818,The Mongolz,Lynn Vision,The Mongolz,1.0,0.0,BO1,2026-05-20 04:20:00+00:00,4208,the-mongolz-vs-lynn-vision-20-05-2026,36690.0,736.0,476.0,736.0,476.0,finished,1,2026-05-20 04:53:03+00:00,9935.0,[True],done,s,1,8.0,,,2.0,True,False,the-mongolz-vs-lynn-vision
119819,B8,Nip,B8,1.0,0.0,BO1,2026-05-20 04:25:00+00:00,4208,b8-vs-nip-20-05-2026,36690.0,1539.0,785.0,1539.0,785.0,finished,1,2026-05-20 05:14:55+00:00,9935.0,[True],done,s,1,9.0,,,2.0,True,False,b8-vs-nip
119813,Mousesports,Tyloo,Tyloo,0.0,1.0,BO1,2026-05-20 05:15:00+00:00,4208,mousesports-vs-tyloo-cs-go-20-05-2026,36689.0,765.0,757.0,757.0,765.0,finished,1,2026-05-20 06:06:11+00:00,9934.0,[True],done,s,1,12.0,,,2.0,False,True,mousesports-vs-tyloo-cs-go
119812,Legacy Br,Nrg,Legacy Br,1.0,0.0,BO1,2026-05-20 05:35:00+00:00,4208,legacy-br-vs-nrg-20-05-2026,36689.0,8118.0,751.0,8118.0,751.0,finished,1,2026-05-20 06:25:50+00:00,9934.0,[True],done,s,1,11.0,,,2.0,True,False,legacy-br-vs-nrg
119814,Falcons Esports,Bc Game,Falcons Esports,1.0,0.0,BO1,2026-05-20 06:30:00+00:00,4208,falcons-esports-vs-bc-game-20-05-2026,36689.0,2713.0,10844.0,2713.0,10844.0,finished,1,2026-05-20 07:28:43+00:00,9934.0,[True],done,s,1,8.0,,,2.0,True,False,falcons-esports-vs-bc-game
119815,Pain Gaming,M80,M80,0.0,1.0,BO1,2026-05-20 06:45:00+00:00,4208,pain-gaming-vs-m80-cs-go-20-05-2026,36689.0,637.0,7430.0,7430.0,637.0,finished,1,2026-05-20 07:36:31+00:00,9934.0,[True],done,s,1,9.0,,,2.0,False,True,pain-gaming-vs-m80-cs-go
119835,Mibr,Parivision,Mibr,2.0,0.0,BO3,2026-05-20 07:50:00+00:00,4208,mibr-vs-parivision-20-05-2026,36697.0,755.0,8171.0,755.0,8171.0,finished,3,2026-05-20 09:36:32+00:00,9935.0,"[True, True, False]",done,s,1,10.0,,,2.0,True,False,mibr-vs-parivision
119836,The Mongolz,B8,B8,1.0,2.0,BO3,2026-05-20 08:00:00+00:00,4208,the-mongolz-vs-b8-20-05-2026,36697.0,736.0,1539.0,1539.0,736.0,finished,3,2026-05-20 10:49:28+00:00,9935.0,"[True, False, True]",done,s,1,7.0,,,2.0,False,True,the-mongolz-vs-b8
119828,Falcons Esports,M80,Falcons Esports,2.0,0.0,BO3,2026-05-20 10:40:00+00:00,4208,falcons-esports-vs-m80-cs-go-20-05-2026,36692.0,2713.0,7430.0,2713.0,7430.0,finished,3,2026-05-20 13:08:32+00:00,9934.0,"[True, True, False]",done,s,1,7.0,,,2.0,True,False,falcons-esports-vs-m80-cs-go
119827,Legacy Br,Tyloo,Legacy Br,2.0,0.0,BO3,2026-05-20 11:20:00+00:00,4208,legacy-br-vs-tyloo-cs-go-20-05-2026,36692.0,8118.0,757.0,8118.0,757.0,finished,3,2026-05-20 14:03:51+00:00,9934.0,"[True, True, False]",done,s,1,10.0,,,2.0,True,False,legacy-br-vs-tyloo-cs-go
119838,3Dmax,Liquid,Liquid,1.0,2.0,BO3,2026-05-21 03:00:00+00:00,4208,3dmax-vs-liquid-21-05-2026,36698.0,696.0,790.0,790.0,696.0,finished,3,2026-05-21 06:24:10+00:00,9935.0,"[True, False, True]",done,s,1,3.0,,,2.0,False,True,3dmax-vs-liquid
119830,Nrg,Mousesports,Mousesports,1.0,2.0,BO3,2026-05-21 03:00:00+00:00,4208,nrg-vs-mousesports-21-05-2026,36693.0,751.0,765.0,765.0,751.0,finished,3,2026-05-21 05:41:27+00:00,9934.0,"[False, True, True]",done,s,1,3.0,,,2.0,False,True,nrg-vs-mousesports
119837,Lynn Vision,Nip,Lynn Vision,2.0,1.0,BO3,2026-05-21 06:10:00+00:00,4208,lynn-vision-vs-nip-21-05-2026,36698.0,476.0,785.0,476.0,785.0,finished,3,2026-05-21 09:04:08+00:00,9935.0,"[True, False, True]",done,s,1,5.0,,,2.0,True,False,lynn-vision-vs-nip
119829,Bc Game,Pain Gaming,Pain Gaming,0.0,2.0,BO3,2026-05-21 06:55:00+00:00,4208,bc-game-vs-pain-gaming-21-05-2026,36693.0,10844.0,637.0,637.0,10844.0,finished,3,2026-05-21 08:55:01+00:00,9934.0,"[True, True, False]",done,s,1,5.0,,,2.0,False,True,bc-game-vs-pain-gaming
119840,The Mongolz,Liquid,The Mongolz,2.0,1.0,BO3,2026-05-21 09:25:00+00:00,4208,the-mongolz-vs-liquid-21-05-2026,36699.0,736.0,790.0,736.0,790.0,finished,3,2026-05-21 12:18:57+00:00,9935.0,"[False, True, True]",done,s,1,2.0,,,2.0,True,False,the-mongolz-vs-liquid
119832,M80,Mousesports,Mousesports,1.0,2.0,BO3,2026-05-21 09:30:00+00:00,4208,m80-cs-go-vs-mousesports-21-05-2026,36694.0,7430.0,765.0,765.0,7430.0,finished,3,2026-05-21 12:03:41+00:00,9934.0,"[True, False, True]",done,s,1,2.0,,,2.0,False,True,m80-cs-go-vs-mousesports
119839,Parivision,Lynn Vision,Parivision,2.0,0.0,BO3,2026-05-21 12:30:00+00:00,4208,parivision-vs-lynn-vision-21-05-2026,36699.0,8171.0,476.0,8171.0,476.0,finished,3,2026-05-21 14:34:16+00:00,9935.0,"[True, True, False]",done,s,1,4.0,,,2.0,True,False,parivision-vs-lynn-vision
119831,Tyloo,Pain Gaming,Pain Gaming,1.0,2.0,BO3,2026-05-21 12:50:00+00:00,4208,tyloo-cs-go-vs-pain-gaming-21-05-2026,36694.0,757.0,637.0,637.0,757.0,finished,3,2026-05-21 15:23:06+00:00,9934.0,"[True, False, True]",done,s,1,4.0,,,2.0,False,True,tyloo-cs-go-vs-pain-gaming
119841,Mibr,B8,B8,1.0,2.0,BO3,2026-05-22 03:00:00+00:00,4208,mibr-vs-b8-22-05-2026,36700.0,1539.0,755.0,755.0,1539.0,finished,3,2026-05-22 05:21:53+00:00,9935.0,"[True, False, True]",done,s,1,6.0,,,2.0,False,True,mibr-vs-b8
119833,Falcons Esports,Legacy Br,Falcons Esports,2.0,0.0,BO3,2026-05-22 03:00:00+00:00,4208,falcons-esports-vs-legacy-br-22-05-2026,36695.0,2713.0,8118.0,2713.0,8118.0,finished,3,2026-05-22 04:42:25+00:00,9934.0,"[True, True, False]",done,s,1,6.0,,,2.0,True,False,falcons-esports-vs-legacy-br
119834,Mousesports,Pain Gaming,Mousesports,2.0,0.0,BO3,2026-05-22 05:15:00+00:00,4208,mousesports-vs-pain-gaming-22-05-2026,36696.0,765.0,637.0,765.0,637.0,finished,3,2026-05-22 06:56:22+00:00,9934.0,"[True, True, False]",done,s,1,1.0,,,2.0,True,False,mousesports-vs-pain-gaming
119842,The Mongolz,Parivision,The Mongolz,2.0,0.0,BO3,2026-05-22 05:55:00+00:00,4208,the-mongolz-vs-parivision-22-05-2026,36701.0,736.0,8171.0,736.0,8171.0,finished,3,2026-05-22 07:42:41+00:00,9935.0,"[True, True, False]",done,s,1,1.0,,,2.0,True,False,the-mongolz-vs-parivision
119844,B8,Mousesports,Mousesports,0.0,2.0,BO3,2026-05-22 08:45:00+00:00,4208,b8-vs-mousesports-22-05-2026,36871.0,1539.0,765.0,765.0,1539.0,finished,3,2026-05-22 11:26:07+00:00,9936.0,"[True, True, False]",done,s,1,3.0,,,2.0,False,True,b8-vs-mousesports
119843,Legacy Br,The Mongolz,Legacy Br,2.0,1.0,BO3,2026-05-22 09:10:00+00:00,4208,legacy-br-vs-the-mongolz-22-05-2026,36871.0,8118.0,736.0,8118.0,736.0,finished,3,2026-05-22 12:09:33+00:00,9936.0,"[True, False, True]",done,s,1,5.0,,,2.0,True,False,legacy-br-vs-the-mongolz
119845,Falcons Esports,Mousesports,Falcons Esports,2.0,1.0,BO3,2026-05-23 05:00:00+00:00,4208,falcons-esports-vs-mousesports-23-05-2026,36703.0,2713.0,765.0,2713.0,765.0,finished,3,2026-05-23 07:50:44+00:00,9936.0,"[False, True, True]",done,s,1,2.0,,,2.0,True,False,falcons-esports-vs-mousesports
119846,Mibr,Legacy Br,Legacy Br,0.0,2.0,BO3,2026-05-23 09:25:00+00:00,4208,mibr-vs-legacy-br-23-05-2026,36703.0,755.0,8118.0,8118.0,755.0,finished,3,2026-05-23 11:15:08+00:00,9936.0,"[True, True, False]",done,s,1,4.0,,,2.0,False,True,mibr-vs-legacy-br
